year,county,program,mwh,gwh
2020-01-01,Seneca,Biogas,46664,466
2020-01-01,Albany,Biogas,22340,223
2020-01-01,Niagara,Biogas,20306,203
2020-01-01,Jefferson,Biogas,19178,191
2020-01-01,Ontario,Biogas,17232,172
2020-01-01,Allegany,Biogas,15396,153
2020-01-01,Chautauqua,Biogas,11209,112
2020-01-01,Clinton,Biogas,6275,62
2020-01-01,Albany,Biogas,5625,56
2020-01-01,Erie,Biogas,4750,47
2020-01-01,Niagara,Biogas,4750,47
2020-01-01,Jefferson,Biomass,324045,64
2020-01-01,Niagara,Biomass,180500,36
2020-01-01,Lewis,Biomass,131238,26
2020-01-01,Franklin,Biomass,128000,25
2020-01-01,Yates,Biomass,28500,5
2020-01-01,Lewis,Biomass,0,0
2020-01-01,Westchester,Fuel Cell,8437,84
2020-01-01,Westchester,Fuel Cell,8432,84
2020-01-01,New York,Fuel Cell,6324,63
2020-01-01,Queens,Fuel Cell,1686,16
2020-01-01,Lewis,Hydroelectric,42590,4259
2020-01-01,St. Lawrence,Hydroelectric,37646,3764
2020-01-01,Jefferson,Hydroelectric,32993,3299
2020-01-01,Saratoga,Hydroelectric,30609,3060
2020-01-01,Albany,Hydroelectric,21885,2188
2020-01-01,Saratoga,Hydroelectric,19292,1929
2020-01-01,Columbia,Hydroelectric,11677,1167
2020-01-01,Oswego,Hydroelectric,10787,1078
2020-01-01,Saratoga,Hydroelectric,10491,1049
2020-01-01,St. Lawrence,Hydroelectric,9895,989
2020-01-01,Sullivan,Hydroelectric,4794,479
2020-01-01,Sullivan,Hydroelectric,4199,419
2020-01-01,Saratoga,Hydroelectric,3115,311
2020-01-01,Lewis,Hydroelectric,2892,289
2020-01-01,Oswego,Hydroelectric,2688,268
2020-01-01,Franklin,Hydroelectric,2500,250
2020-01-01,Lewis,Hydroelectric,1975,197
2020-01-01,Cayuga,Hydroelectric,1959,195
2020-01-01,Clinton,Hydroelectric,1900,190
2020-01-01,Oneida,Hydroelectric,1897,189
2020-01-01,Lewis,Hydroelectric,1399,139
2020-01-01,Cayuga,Hydroelectric,986,98
2020-01-01,Onondaga,Hydroelectric,900,90
2020-01-01,Lewis,Hydroelectric,684,68
2020-01-01,Tompkins,Hydroelectric,625,62
2020-01-01,Dutchess,Hydroelectric,474,47
2020-01-01,St. Lawrence,Hydroelectric,385,38
2020-01-01,Niagara,Hydroelectric,324,32
2020-01-01,Clinton,Land Based Wind,581510,581
2020-01-01,Lewis,Land Based Wind,526800,526
2020-01-01,Clinton,Land Based Wind,331550,331
2020-01-01,Wyoming,Land Based Wind,314572,314
2020-01-01,Wyoming,Land Based Wind,279103,279
2020-01-01,Lewis,Land Based Wind,249935,249
2020-01-01,Lewis,Land Based Wind,249935,249
2020-01-01,Chautauqua,Land Based Wind,229873,229
2020-01-01,Chautauqua,Land Based Wind,229873,229
2020-01-01,Wyoming,Land Based Wind,228200,228
2020-01-01,Franklin,Land Based Wind,206272,206
2020-01-01,Franklin,Land Based Wind,204817,204
2020-01-01,Herkimer,Land Based Wind,195649,195
2020-01-01,Wyoming,Land Based Wind,182590,182
2020-01-01,Clinton,Land Based Wind,179316,179
2020-01-01,Steuben,Land Based Wind,123660,123
2020-01-01,Steuben,Land Based Wind,115184,115
2020-01-01,Steuben,Land Based Wind,52526,52
2020-01-01,Erie,Land Based Wind,37430,37
2020-01-01,Steuben,Land Based Wind,16208,16
2020-01-01,Ontario,Land Based Wind,3847,3
2020-01-01,Schenectady,Solar,40503,405
2020-01-01,Schenectady,Solar,40503,405
2020-01-01,Saratoga,Solar,32396,323
2020-01-01,Saratoga,Solar,32396,323
2020-01-01,Greene,Solar,10342,103
2020-01-01,Greene,Solar,10342,103
